scope,n,spearman_rho,p_value,causal_bound_frac,median_coupling,median_obs_lag_h,median_dist_km
all_pairs,1427,0.8035199359886119,0.0,0.9936930623686054,0.5218378426737466,9.0,504.69416915658843
coupled,758,0.7028991217671622,5.783061104288332e-114,0.9934036939313984,0.6886545690312524,5.0,308.5073351573001
basin:Gulf,21,0.7560692719405808,7.346111518693617e-05,1.0,0.7002583724120982,3.0,322.1066543839339
basin:Mid-Atlantic,75,0.346386805272331,0.002332575052594199,1.0,0.729090240140801,2.0,194.2346577063372
basin:NE,21,0.7690445440026734,4.619366536644695e-05,1.0,0.668314397898773,3.0,242.58511530935425
basin:Other/Intl,47,0.7340098829880773,4.34270424741513e-09,1.0,0.6154516635673096,6.0,393.69922321712113
basin:Pacific Is.,42,0.6129302344457207,1.5961555024479852e-05,1.0,0.6494251558247621,7.5,510.8459001302429
basin:S. Atlantic,34,0.7002861586412508,4.017207748146213e-06,1.0,0.7008798506013242,2.0,271.5445460578653
basin:W. Coast,518,0.8899094543844333,4.887903130435616e-178,0.9903474903474904,0.6976746287637883,6.0,301.33724683116736
