config,mechanism,target,metric,basin_mean,basin_std,plain_mean,plain_std,basin_advantage,combined_std,exceeds_noise
block_10,block,APD,MAE,0.6151694732407043,0.01095054816161735,0.6217486494958532,0.015546842302133995,0.006579176255148922,0.01901627751709898,False
block_10,block,APD,MRE,0.10314227050722276,0.0018351130033230603,0.10424636077401565,0.0026063089702293924,0.0011040902667928953,0.0031875517538172736,False
block_10,block,APD,RMSE,0.8642353111486024,0.021824452561351317,0.8706284907459393,0.03666338205505458,0.006393179597336873,0.042667438560541365,False
block_10,block,WVHT,MAE,0.3325077453938588,0.03426073454475504,0.32240318312362426,0.027733091232763612,-0.01010456227023454,0.04407859209265833,False
block_10,block,WVHT,MRE,0.2386082808975366,0.02457919157354257,0.23135985120876368,0.019900323778460793,-0.007248429688772928,0.03162529912738342,False
block_10,block,WVHT,RMSE,0.49564953763472747,0.032076628457534534,0.4899861024703342,0.03559933082980724,-0.005663435164393271,0.0479189153543022,False
block_30,block,APD,MAE,0.6404098393212276,0.026053011325103976,0.6485340191291509,0.019219373729690615,0.008124179807923237,0.03237504788672162,False
block_30,block,APD,MRE,0.10905211059991583,0.0044364725249209855,0.11043684500800006,0.003272493705910831,0.0013847344080842316,0.005512848947649916,False
block_30,block,APD,RMSE,0.8757523346544946,0.02689875879489924,0.8844699791907678,0.040665392230196676,0.008717644536273106,0.048756715947056044,False
block_30,block,WVHT,MAE,0.3412871789759404,0.03195789798197022,0.3296310138702116,0.02231436272423067,-0.01165616510572881,0.038977404059461825,False
block_30,block,WVHT,MRE,0.255384131066337,0.023904217060423144,0.24666957310758442,0.01668995544043478,-0.008714557958752589,0.029154179904012447,False
block_30,block,WVHT,RMSE,0.5103639593722552,0.02301248226625137,0.5027792241336629,0.026562255593555986,-0.007584735238592266,0.03514438450552136,False
block_50,block,APD,MAE,0.7035659725924216,0.03877349206746599,0.7160650659535391,0.03215903852688046,0.012499093361117541,0.05037447216675556,False
block_50,block,APD,MRE,0.12105356525636986,0.006670808424997237,0.12320456508844525,0.005533312859489006,0.0021509998320753954,0.00866702003251409,False
block_50,block,APD,RMSE,0.9384815859484495,0.025635888875717498,0.9518749513466899,0.04008358759322139,0.01339336539824032,0.047580382436373796,False
block_50,block,WVHT,MAE,0.37340781085484176,0.021110289564209104,0.36340198936796825,0.015402399446728828,-0.010005821486873512,0.02613193896750389,False
block_50,block,WVHT,MRE,0.2868569551564613,0.016216514906400564,0.2791736902037828,0.011830844617031858,-0.007683264952678515,0.020073471051660782,False
