method,target,n_origins,MAE,RMSE,skill_vs_persistence
persistence,WVHT,1078554,0.08606483324005645,0.1351564527679954,0.0
seasonal_naive,WVHT,1078554,0.4160442501614904,0.6573733081971315,-3.834079547926833
ar24,WVHT,1078554,0.08282384162482065,0.1293895844418328,0.03765755992573483
persistence,APD,1014338,0.2357279031995702,0.35220449575448554,0.0
seasonal_naive,APD,1014338,0.8843744191947287,1.2306208423320188,-2.751674736808761
ar24,APD,1014338,0.22865619021162034,0.34103411098225167,0.02999947351147003
