graph,config,mechanism,target,metric,mean,std,n_model_seeds
adjacency_knn,station_outage_full,station_outage,WVHT,MRE,0.23340642601156056,0.00885289191905235,3
adjacency_knn,station_outage_full,station_outage,WVHT,RMSE,0.5095204381736309,0.022537523535200252,3
adjacency_knn_basin,block_10,block,APD,MAE,0.6151694732407043,0.01095054816161735,3
adjacency_knn_basin,block_10,block,APD,MRE,0.10314227050722276,0.0018351130033230603,3
adjacency_knn_basin,block_10,block,APD,RMSE,0.8642353111486024,0.021824452561351317,3
adjacency_knn_basin,block_10,block,WVHT,MAE,0.3325077453938588,0.03426073454475504,3
adjacency_knn_basin,block_10,block,WVHT,MRE,0.2386082808975366,0.02457919157354257,3
adjacency_knn_basin,block_10,block,WVHT,RMSE,0.49564953763472747,0.032076628457534534,3
adjacency_knn_basin,block_20,block,APD,MAE,0.6271468210504826,0.017618296422797802,3
adjacency_knn_basin,block_20,block,APD,MRE,0.10577626630001592,0.002971238040430566,3
adjacency_knn_basin,block_20,block,APD,RMSE,0.8681166954043994,0.02637177845674457,3
adjacency_knn_basin,block_20,block,WVHT,MAE,0.338602577991394,0.03302512184991171,3
adjacency_knn_basin,block_20,block,WVHT,MRE,0.24655887959351852,0.024034294244523424,3
adjacency_knn_basin,block_20,block,WVHT,RMSE,0.5089206391379518,0.02917096156056459,3
adjacency_knn_basin,block_30,block,APD,MAE,0.6404098393212276,0.026053011325103976,3
adjacency_knn_basin,block_30,block,APD,MRE,0.10905211059991583,0.0044364725249209855,3
adjacency_knn_basin,block_30,block,APD,RMSE,0.8757523346544946,0.02689875879489924,3
adjacency_knn_basin,block_30,block,WVHT,MAE,0.3412871789759404,0.03195789798197022,3
adjacency_knn_basin,block_30,block,WVHT,MRE,0.255384131066337,0.023904217060423144,3
adjacency_knn_basin,block_30,block,WVHT,RMSE,0.5103639593722552,0.02301248226625137,3
adjacency_knn_basin,block_5,block,APD,MAE,0.6164651960913065,0.007461129268130725,3
adjacency_knn_basin,block_5,block,APD,MRE,0.10309915311036782,0.0012436284066891,3
adjacency_knn_basin,block_5,block,APD,RMSE,0.8691430313724244,0.01674602291846399,3
adjacency_knn_basin,block_5,block,WVHT,MAE,0.325249519127251,0.03388086918534575,3
adjacency_knn_basin,block_5,block,WVHT,MRE,0.23308428988127336,0.024302560881704145,3
adjacency_knn_basin,block_5,block,WVHT,RMSE,0.48765186475976247,0.032928154917101424,3
adjacency_knn_basin,block_50,block,APD,MAE,0.7035659725924216,0.03877349206746599,3
adjacency_knn_basin,block_50,block,APD,MRE,0.12105356525636986,0.006670808424997237,3
adjacency_knn_basin,block_50,block,APD,RMSE,0.9384815859484495,0.025635888875717498,3
adjacency_knn_basin,block_50,block,WVHT,MAE,0.37340781085484176,0.021110289564209104,3
adjacency_knn_basin,block_50,block,WVHT,MRE,0.2868569551564613,0.016216514906400564,3
adjacency_knn_basin,block_50,block,WVHT,RMSE,0.5410660320651138,0.01597639301147606,3
adjacency_knn_basin,mcar_10,mcar,APD,MAE,0.18123764581151924,0.0011273740072559387,3
adjacency_knn_basin,mcar_10,mcar,APD,MRE,0.030259615671966212,0.00018823263106760912,3
adjacency_knn_basin,mcar_10,mcar,APD,RMSE,0.2711690170836775,0.0013412037800323883,3
adjacency_knn_basin,mcar_10,mcar,WVHT,MAE,0.06552536349173442,0.0007361473354007437,3
adjacency_knn_basin,mcar_10,mcar,WVHT,MRE,0.04636091007503954,0.0005208878140824865,3
adjacency_knn_basin,mcar_10,mcar,WVHT,RMSE,0.10449040706139039,0.0018773397170576624,3
adjacency_knn_basin,mcar_20,mcar,APD,MAE,0.18855259020495385,0.001333859366278352,3
adjacency_knn_basin,mcar_20,mcar,APD,MRE,0.03147315581378792,0.00022264661692612605,3
adjacency_knn_basin,mcar_20,mcar,APD,RMSE,0.28200032188332397,0.0015130611583834398,3
adjacency_knn_basin,mcar_20,mcar,WVHT,MAE,0.06791571512527299,0.0010373141921254099,3
adjacency_knn_basin,mcar_20,mcar,WVHT,MRE,0.04798040107711004,0.0007328363368959238,3
adjacency_knn_basin,mcar_20,mcar,WVHT,RMSE,0.10913801730868662,0.0024640978769767015,3
adjacency_knn_basin,mcar_30,mcar,APD,MAE,0.1981325299612607,0.0014690914224605451,3
adjacency_knn_basin,mcar_30,mcar,APD,MRE,0.03307224898584057,0.00024521869877063083,3
adjacency_knn_basin,mcar_30,mcar,APD,RMSE,0.2971279779553055,0.0015778207268861643,3
adjacency_knn_basin,mcar_30,mcar,WVHT,MAE,0.0712239058560819,0.0014330176512838814,3
adjacency_knn_basin,mcar_30,mcar,WVHT,MRE,0.05032107558199788,0.0010124206269167923,3
adjacency_knn_basin,mcar_30,mcar,WVHT,RMSE,0.11606351975473932,0.0030872874725866445,3
adjacency_knn_basin,mcar_5,mcar,APD,MAE,0.17823346809332605,0.0010506442185583143,3
adjacency_knn_basin,mcar_5,mcar,APD,MRE,0.02975502172123061,0.00017541233941017136,3
adjacency_knn_basin,mcar_5,mcar,APD,RMSE,0.2661845691987263,0.0011985468578153522,3
adjacency_knn_basin,mcar_5,mcar,WVHT,MAE,0.0646349744747864,0.0006154058753390088,3
adjacency_knn_basin,mcar_5,mcar,WVHT,MRE,0.04567134830645539,0.00043484307050261316,3
adjacency_knn_basin,mcar_5,mcar,WVHT,RMSE,0.10281385100749729,0.0016448722069589633,3
adjacency_knn_basin,mcar_50,mcar,APD,MAE,0.22792473378367642,0.0020627116023686173,3
adjacency_knn_basin,mcar_50,mcar,APD,MRE,0.03804833088742925,0.0003443360785514433,3
adjacency_knn_basin,mcar_50,mcar,APD,RMSE,0.3409825878909792,0.0016982687449688383,3
adjacency_knn_basin,mcar_50,mcar,WVHT,MAE,0.08211754781079479,0.002393057921299509,3
adjacency_knn_basin,mcar_50,mcar,WVHT,MRE,0.058029292482375296,0.0016910835294305577,3
adjacency_knn_basin,mcar_50,mcar,WVHT,RMSE,0.13663604409405775,0.004402897188515376,3
adjacency_knn_basin,station_outage_720,station_outage,APD,MAE,0.9119984620263448,0.06048687811719911,3
adjacency_knn_basin,station_outage_720,station_outage,APD,MRE,0.13339282543127365,0.008849510197679157,3
adjacency_knn_basin,station_outage_720,station_outage,APD,RMSE,1.2340208667390533,0.08937082992395234,3
adjacency_knn_basin,station_outage_720,station_outage,WVHT,MAE,0.47276027649293056,0.044445240801194316,3
adjacency_knn_basin,station_outage_720,station_outage,WVHT,MRE,0.2626073553241012,0.023787030835513635,3
adjacency_knn_basin,station_outage_720,station_outage,WVHT,RMSE,0.699724480475934,0.06436788160330151,3
adjacency_knn_basin,station_outage_full,station_outage,APD,MAE,0.726231613487824,0.03305350237481002,3
adjacency_knn_basin,station_outage_full,station_outage,APD,MRE,0.1205915135653036,0.005516919346542559,3
adjacency_knn_basin,station_outage_full,station_outage,APD,RMSE,1.006149058828017,0.06529171600806132,3
adjacency_knn_basin,station_outage_full,station_outage,WVHT,MAE,0.3464032468801874,0.0071840105335863646,3
adjacency_knn_basin,station_outage_full,station_outage,WVHT,MRE,0.23744573446849193,0.0048210108873715934,3
adjacency_knn_basin,station_outage_full,station_outage,WVHT,RMSE,0.5111330311613957,0.02652352533906759,3
