up,dn,up_id,dn_id,basin,dist_km,coupling,obs_lag_h,pred_lag_h,Tp,cg_ms
129,125,46248,46239,W. Coast,1108.908573484248,0.49585614980534876,20,34.07725,11.57896,9.039173
125,130,46239,46251,W. Coast,368.09615386530373,0.5582562280604866,7,10.580952,12.378696,9.663491
125,131,46239,46253,W. Coast,471.86452620049903,0.509334759587331,8,13.614641,12.332454,9.627392
125,132,46239,46254,W. Coast,587.7960396900347,0.5110828886167343,13,19.037712,10.98627,8.576487
125,133,46239,46256,W. Coast,461.45655958961856,0.40015628554752297,8,12.387753,13.254905,10.347508
125,134,46239,46258,W. Coast,581.0031391225534,0.6078555743974211,12,16.091799,12.84731,10.029317
125,135,46239,46259,W. Coast,183.12319801328053,0.887106176762109,3,5.4612384,11.931376,9.314289
125,136,46239,46266,W. Coast,580.329794867813,0.6018555228957028,12,16.376127,12.609621,9.843763
137,125,46267,46239,W. Coast,1320.9580276831796,0.22993653943308134,18,44.203136,10.6334505,8.301057
125,138,46239,46268,W. Coast,411.75578929100476,0.4520411631829739,7,11.582774,12.64927,9.874716
125,139,46239,ljpc1,W. Coast,588.560670394566,0.5460692968599954,14,19.610613,10.6791935,8.336766
127,126,46243,46240,W. Coast,1082.1009594193188,0.43507539740087586,20,33.930214,11.348007,8.858878
128,126,46244,46240,W. Coast,520.1310020162574,0.6194826212556501,10,16.466652,11.239468,8.774147
129,126,46248,46240,W. Coast,1081.2578941331114,0.45957728939317766,21,33.992573,11.318362,8.835736
126,130,46240,46251,W. Coast,382.3402416419831,0.5448057823203173,3,11.199915,12.147128,9.482717
126,131,46240,46253,W. Coast,479.34762391574435,0.4955864795999583,7,14.096643,12.09966,9.445661
126,132,46240,46254,W. Coast,595.106000356988,0.5439999244704574,11,19.741583,10.72632,8.373555
126,133,46240,46256,W. Coast,468.2697990734591,0.3181309632115933,2,12.777235,13.040602,10.180211
126,134,46240,46258,W. Coast,589.8194263288837,0.5681998142020632,10,16.62385,12.624839,9.855643
126,135,46240,46259,W. Coast,209.33033127840864,0.8195566271207776,3,6.3720875,11.689306,9.125316
126,136,46240,46266,W. Coast,587.2525015144868,0.580091501182617,11,16.875397,12.382525,9.66648
137,126,46267,46240,W. Coast,1291.161740385597,0.2553710270469775,22,44.39137,10.349526,8.07941
126,138,46240,46268,W. Coast,418.3386737152869,0.3994439804379796,1,11.982219,12.423077,9.698136
126,139,46240,ljpc1,W. Coast,595.8361788277125,0.5785574036888947,12,20.3643,10.411079,8.127461
127,128,46243,46244,W. Coast,591.7328634673931,0.6059377912806513,8,18.968054,11.100469,8.665636
127,130,46243,46251,W. Coast,1436.8548928510143,0.24794188664077113,25,42.577053,12.008138,9.374213
127,131,46243,46253,W. Coast,1493.0461342717872,0.2048515328666361,29,44.418217,11.960531,9.337049
127,133,46243,46256,W. Coast,1479.3909571352187,0.13472588210178543,28,40.80459,12.900672,10.070974
127,135,46243,46259,W. Coast,1291.3841405851103,0.423831557899726,22,39.784935,11.549818,9.016423
127,137,46243,46267,W. Coast,221.13814234762054,0.37060393741034175,1,7.7120366,10.203118,7.9651155
127,138,46243,46268,W. Coast,1434.6701624111106,0.1503268370291894,31,41.55821,12.283824,9.589429
129,128,46248,46244,W. Coast,582.7705199285887,0.6519865034671548,10,18.743773,11.063153,8.636506
128,130,46244,46251,W. Coast,898.2988299377864,0.32868374976545334,16,26.87524,11.893422,9.284659
128,131,46244,46253,W. Coast,979.9103530951473,0.31292033460301616,18,29.43359,11.846266,9.247847
128,132,46244,46254,W. Coast,1092.1059431771382,0.3106543002978842,21,37.040737,10.49116,8.189977
128,133,46244,46256,W. Coast,967.309329181506,0.249592508348902,17,26.943554,12.774645,9.97259
128,134,46244,46258,W. Coast,1091.4379437187315,0.3974157032012637,21,31.409664,12.364431,9.652355
128,135,46244,46259,W. Coast,725.6849120420352,0.572246641434923,13,22.571217,11.440144,8.930805
128,136,46244,46266,W. Coast,1083.2182237973993,0.384080204415585,20,31.787348,12.12551,9.46584
137,128,46267,46244,W. Coast,811.1595579150255,0.3019771285289532,10,28.563093,10.105072,7.888575
128,138,46244,46268,W. Coast,918.4602619403763,0.2774025442299231,18,26.863575,12.165639,9.497167
128,139,46244,ljpc1,W. Coast,1092.710130056308,0.34153923486595283,23,38.19991,10.178434,7.945846
129,130,46248,46251,W. Coast,1440.4667641832684,0.2502183029816814,26,42.711117,12.000538,9.368279
129,131,46248,46253,W. Coast,1499.8575857831026,0.20559404162427378,28,44.655052,11.951372,9.329899
129,133,46248,46256,W. Coast,1486.2773938740174,0.1417674055503504,27,40.926613,12.922078,10.087686
129,135,46248,46259,W. Coast,1290.5701405680784,0.4444413220507631,23,39.83795,11.527178,8.998749
129,137,46248,46267,W. Coast,239.86716948437103,0.40873316058228115,2,8.423614,10.132363,7.90988
129,138,46248,46268,W. Coast,1440.961834200369,0.15033856311911908,26,41.735863,12.285178,9.590486
130,131,46251,46253,W. Coast,129.76676068991236,0.7643719287367273,5,3.6261191,12.73385,9.940743
130,132,46251,46254,W. Coast,235.85239087522982,0.7311088898299829,10,7.369398,11.387978,8.890081
130,133,46251,46256,W. Coast,126.36389017742165,0.6149007535267736,3,3.2925363,13.656228,10.660803
130,134,46251,46258,W. Coast,222.83492399452976,0.7830085905885535,6,5.984798,13.248665,10.342636
135,130,46259,46251,W. Coast,209.30064752375796,0.6065706577490034,3,6.0377674,12.334812,9.629232
130,136,46251,46266,W. Coast,230.69628096456,0.7759848256299509,8,6.3092346,13.010749,10.156906
130,138,46251,46268,W. Coast,95.34256580436572,0.7573980959431228,2,2.599607,13.05021,10.187712
130,139,46251,ljpc1,W. Coast,236.7420200817633,0.7450826657825818,10,7.600149,11.083874,8.652681
131,132,46253,46254,W. Coast,115.93915877385476,0.8203917719883488,4,3.6378326,11.340332,8.852887
131,134,46253,46258,W. Coast,111.63621620088594,0.8566973426328135,2,3.0085325,13.20349,10.307371
135,131,46259,46253,W. Coast,332.2563973312574,0.53570407760422,6,9.621069,12.288204,9.592848
131,136,46253,46266,W. Coast,108.56211102140061,0.8250934715521345,3,2.9794378,12.965291,10.12142
131,139,46253,ljpc1,W. Coast,116.69917770622212,0.8139466507172409,4,3.762835,11.035474,8.614898
133,132,46256,46254,W. Coast,126.87063818436708,0.4703590966056797,5,3.6804907,12.26574,9.575312
135,132,46259,46254,W. Coast,443.98737189254786,0.5575504503854797,10,14.450091,10.932977,8.534883
138,132,46268,46254,W. Coast,176.80567539629433,0.6823588475815838,6,5.3959103,11.659228,9.101835
133,134,46256,46258,W. Coast,124.1353912193212,0.7038506178562832,3,3.1267786,14.126573,11.02798
135,133,46259,46256,W. Coast,325.1415068584479,0.39547768087825713,7,8.753538,13.2168255,10.3177805
133,136,46256,46266,W. Coast,119.00893362598303,0.5906346223366229,4,3.0491364,13.888043,10.841771
133,139,46256,ljpc1,W. Coast,127.58955199816403,0.4727565793578995,6,3.7934327,11.967987,9.342869
135,134,46259,46258,W. Coast,432.00817445543817,0.6214118606495603,10,12.003274,12.806505,9.997462
138,134,46268,46258,W. Coast,173.25193230736133,0.7850050437959463,4,4.559875,13.519589,10.554135
135,136,46259,46266,W. Coast,438.1891940644096,0.6246818986694916,10,12.406799,12.567251,9.810687
137,135,46267,46259,W. Coast,1499.8476961125937,0.21260110722666956,26,50.46997,10.574321,8.254896
135,138,46259,46268,W. Coast,280.03163432983143,0.44471710909945067,3,7.903643,12.607185,9.841862
135,139,46259,ljpc1,W. Coast,444.85403883905616,0.5885367015381129,11,14.900163,10.623432,8.293236
138,136,46268,46266,W. Coast,168.92030806076988,0.7537392465425962,5,4.5255575,13.281531,10.368294
138,139,46268,ljpc1,W. Coast,177.52611866946302,0.6794886904792308,6,5.562005,11.357146,8.866014
